Дата ;о_Санкт-Петербург;o_Адмиралтейский;o_Васимлеостровский;o_Всеволожский;o_Выборгский;o_Калининский;o_Кировский;o_Колпинский;o_Красногвардейский;o_Красносельский;o_Кронштадтский;o_Курортный;o_Московский;o_Невский;o_Ленобласть;o_Петроградский;o_Петродворцовый;o_Приморский;o_Пушкинский;o_Фрунзенский;o_Центральный;р_Санкт-Петербург;p_Адмиралтейский;p_Василеостровский;p_Всеволожский;p_Выборгский;p_Калининский;p_Кировский ;p_Колпинский;p_Красногвардейский;p_Красносельский;p_Кронштадтский;p_Курортный;p_Московский;p_Невский;p_ЛЕНОБЛАСТЬ;p_Петроградский;p_Петродворцовый ;p_Приморский;p_Пушкинский;p_Фрунзенский ;p_Центральный
ijun'18;108.766;117.426;123.708;81.026;105.283;103.571;100.951;75.101;98.708;93.138;77.591;99.927;122.692;96.019;57.232;151.94;82.894;114.593;92.095;100.346;135.563;102.707;124.534;124.196;68.706;93.484;102.296;94.066;73.07;90.156;92.615;62.292;97.394;121.593;91.97;56.962;169.287;67.627;110.996;100.845;117.084;160.454
ijul'18;109.045;118.697;126.296;81.789;106.05;103.779;101.173;75.475;99.747;94.043;78.471;98.466;123.88;97.145;57.988;152.649;82.403;115.546;92.047;101.547;135.211;102.952;125.141;125.222;69.788;95.737;102.571;96.736;74.85;92.326;94.341;97.561;92.61;119.294;94.003;57.24;166.222;65.523;108.723;96.857;117.309;159.118
avg'18;109.457;120.139;128.429;81.731;107.377;103.907;102.572;75.626;101.433;94.953;78.536;100.395;125.104;100.195;60.656;156.516;83.212;118.371;92.692;102.681;136.279;103.742;129.475;130.517;71.777;100.553;101.827;100.995;68.506;94.93;97.923;98.835;83.572;115.527;95.798;60.155;167.414;64.911;105.938;90.529;119.062;162.166
sen'18;110.507;123.919;129.837;78.195;108.707;105.126;104.866;74.965;101.6;94.488;77.93;98.993;127.99;100.656;62.129;157.091;82.365;121.421;91.742;104.082;138.089;103.935;128.36;127.105;71.208;103.153;102.93;100.912;65.755;96.833;98.91;98.891;77.961;111.233;98.352;61.008;169.07;67.696;106.604;86.963;116.901;166.802
okt'18;111.41;126.543;133.974;76.743;109.82;106.506;105.704;77.154;102.947;94.456;79.041;101.22;129.325;101.065;62.504;160.621;83.338;122.066;92.651;105.27;142.737;104.206;128.385;118.515;72.526;108.062;104.619;103.676;63.647;94.538;101.895;99.424;74.025;109.903;99.505;62.214;174.802;68.527;108.318;83.483;117.408;170.937
noja'18;111.901;127.455;134.995;77.462;110.745;107.225;106.363;77.53;103.554;95.065;79.742;101.636;130.223;101.7;62.75;161.334;83.864;123.126;93.285;106.341;141.838;105.498;131.274;115.359;73.677;112.116;105.107;106.154;64.025;93.62;104.701;101.511;72.777;107.902;101.372;63.92;180.818;69.658;108.541;81.862;120.396;175.297
dek'18;114.047;129.416;137.894;78.817;111.588;108.269;104.379;78.213;104.013;96.457;80.353;102.871;132.185;102.165;64.065;163.981;85.872;124.335;95.395;107.798;145.389;107.859;132.401;113.375;74.447;112.929;107.786;106.141;64.447;94.487;107.317;103.283;71.764;109.139;102.905;64.945;182.249;70.746;109.735;82.466;124.832;177.125
janv'19;114.102;129.314;137.834;77.767;110.648;107.985;105.045;78.214;104.612;97.326;79.304;102.303;130.995;103.122;63.039;163.002;88.273;122.344;92.328;109.245;144.898;108.463;134.016;111.389;75.275;114.353;108.645;106.958;64.612;95.239;108.611;104.122;72.334;110.892;103.49;66.271;183.721;71.488;110.013;84.147;125.479;176.215
fev'19;115.051;130.012;138.553;77.984;111.674;108.667;105.235;78.604;104.834;97.376;80.227;103.1;132.248;103.157;63.803;164.309;88.508;123.256;93.331;109.364;145.869;110.13;134.159;111.056;75.71;114.566;108.715;107.786;64.696;94.728;108.857;104.593;73.161;111.492;104.899;67.345;185.15;71.912;110.801;83.442;125.709;176.464
mar'19;117.4;132.188;140.653;80.741;113.549;110.928;107.675;79.389;107.006;100.6;80.771;103.922;135.586;108.31;65.361;163.983;88.702;126.231;96.043;111.764;149.855;111.621;135.414;110.591;76.107;116.1;109.9;108.449;64.894;95.273;109.898;103.249;73.34;113.573;106.547;68.077;190.006;73.303;111.276;82.104;127.612;175.518
apr'19;119.409;133.182;142.589;82.442;116.166;113.58;110.974;81.018;109.972;103.38;81.49;106.353;138.031;110.965;66.348;165.955;89.751;129.478;97.564;114.278;152.21;112.526;136.073;110.679;76.187;117.387;110.364;109.526;65.522;94.245;111.126;103.928;74.124;114.344;106.763;68.467;193.563;73.346;111.219;82.188;127.847;176.758
maj'19;120.324;133.961;143.345;82.174;117.815;113.883;111.276;81.352;110.317;104.014;81.655;107.859;139.371;111.988;65.738;165.83;90.46;130.804;98.113;115.058;150.753;113.209;135.711;111.032;76.356;117.289;110.639;109.583;65.691;94.021;111.781;105.833;74.603;114.814;106.149;69.316;193.341;76.083;111.832;82.858;127.594;177.843
ijun'19;121.545;136.617;144.987;83.88;118.899;115.155;112.279;81.941;111.549;104.665;81.809;108.311;141.339;113.207;63.899;168.829;91.737;131.938;98.827;116.799;154.826;113.364;137.457;111.138;77.416;117.279;111.564;110.639;66.778;94.629;111.93;106.167;75.542;115.746;105.331;70.702;197.111;75.882;112.469;83.835;129.102;180.774
ijul'19;122.688;137.074;145.321;83.793;119.031;116.919;113.663;82.213;112.712;105.464;82.251;110.095;142.975;115.044;62.918;170.834;92.094;132.7;99.561;117.33;155.274;114.405;138.563;111.261;78.247;117.113;111.605;110.67;67.578;94.964;112.843;108.216;76.051;115.834;105.983;71.9;197.849;75.855;114.65;84.554;129.412;182.487
avg'19;124.029;138.514;145.42;84.038;119.872;117.514;113.452;83.397;113.122;106.46;82.64;111.483;143.096;116.6;61.209;174.653;92.515;134.125;100.145;118.02;161.921;115.942;142.088;108.68;77.7;117.878;114.159;113.352;68.281;95.828;113.255;109.716;97.268;116.604;106.589;71.766;196.291;75.837;115.433;85.279;132.273;189.659
sen'19;124.681;138.755;145.522;85.217;119.602;118.646;112.546;83.129;113.736;107.126;83.841;112.608;143.193;117.089;60.626;175.661;92.579;135.405;100.672;119.219;162.387;116.584;140.874;108.319;78.64;118.32;114.65;114.599;70.336;96.463;114.528;112.486;134.618;117.097;107.433;72.638;196.223;76.981;115.853;86.267;136.038;190.822
okt'19;125.238;140.982;145.989;86.562;119.631;118.881;113.168;83.639;112.793;107.347;84.985;113.125;144.267;117.064;57.86;176.511;93.014;135.307;100.666;119.874;164.32;117.192;141.277;108.528;79.247;118.287;114.977;115.342;70.605;96.599;114.787;114.894;136.494;118.06;108.063;72.875;196.68;77.286;116.318;86.881;136.052;190.698
noja'19;125.848;141.93;146.389;87.541;118.942;119.994;113.467;84.274;113.045;106.451;85.612;114.236;143.943;117.566;58.124;176.994;93.352;135.387;100.482;121.221;165.273;117.894;142.011;108.614;80.94;117.891;115.265;115.34;71.7;96.936;114.94;116.745;140.534;120.59;108.71;73.497;197.649;80.768;117.551;87.853;136.298;190.865
dek'19;127.662;142.067;148.296;87.586;120.052;120.683;113.861;85.26;114.813;108.855;87.066;117.199;143.982;120.922;59.292;180.096;94.08;135.292;101.179;122.178;168.253;118.75;143.336;108.545;82.887;118.86;115.357;116.724;72.363;99.108;116.053;118.856;141.832;121.346;109.809;74.843;199.519;83.845;118.554;89.236;136.677;191.211
janv'20;127.728;142.071;148.455;87.09;120.101;121.376;113.932;84.717;114.604;108.502;88.208;118.175;143.5;119.684;59.57;180.145;94.103;134.125;100.397;122.986;168.065;119.283;145.266;107.971;83.526;119.063;116.358;116.787;72.763;100.028;117.02;118.679;142.236;121.226;111.787;75.235;202.775;84.69;120.108;89.881;136.201;192.335
fev'20;128.598;141.843;148.929;87.519;123.19;122.77;114.422;84.959;115.064;108.854;89.346;119.262;144.203;119.102;60.299;181.864;93.524;134.607;100.628;122.81;168.421;120.698;147.725;109.678;84.368;120.784;118.42;117.967;85.655;101.049;118.004;119.521;142.545;122.719;113.142;75.745;206.413;85.129;122.882;92.067;134.078;197.657
mar'20;129.431;142.738;150.444;87.782;123.481;122.819;114.939;84.997;116.14;108.936;89.777;119.95;144.733;119.374;60.642;182.266;94.46;135.724;100.862;124.197;169.708;123.028;150.775;111.789;85.005;121.676;120.207;116.936;86.33;102.983;119.443;123.142;142.902;124.876;115.038;77.242;209.675;86.234;124.406;94.108;132.244;197.873
apr'20;129.533;143.348;150.625;87.555;124.943;123.427;115.33;86.678;114.642;107.957;88.92;120.965;144.941;119.819;60.259;182.207;93.942;136.656;100.378;124.29;168.589;124.195;152.353;113.373;85.06;121.936;121.016;115.603;87.15;103.447;120.533;127.389;143.377;126.094;115.984;75.523;213.532;86.351;125.381;95.276;134.054;198.096
maj'20;130.262;145.444;152.435;88.363;125.252;124.291;116.033;86.117;114.887;108.009;91.856;122.072;145.729;117.838;61.506;186.54;94.492;137.036;100.501;123.577;167.975;125.128;154.231;113.579;85.863;122.816;126.052;106.053;89.196;100.829;119.453;127.389;143.615;127.651;118.406;77.814;217.648;86.071;126.849;96.447;129.236;212.367
ijun'20;130.015;145.317;149.326;89.192;124.777;124.026;116.012;87.683;114.834;108.007;93.319;120.565;145.724;117.763;62.049;184.596;93.92;137.413;101.17;124.454;165.986;126.187;154.363;116.112;85.161;123.543;126.725;107.742;89.376;103.151;121.469;0.0;143.853;130.418;120.188;77.35;221.95;86.218;127.748;96.859;130.719;214.637
ijul'20;131.886;146.114;152.183;90.228;125.77;125.604;117.369;88.006;117.289;110.588;96.105;122.082;145.858;119.44;63.324;187.082;93.497;138.098;101.645;125.766;167.98;126.288;153.118;119.495;86.086;123.604;127.018;107.863;89.5;104.105;123.105;0.0;144.328;130.631;122.093;77.436;223.575;84.668;127.639;97.767;133.831;214.884
avg'20;133.021;150.752;155.216;90.718;126.129;126.466;117.887;90.265;116.801;111.219;96.614;121.934;149.137;120.461;63.503;193.423;96.641;139.029;102.822;128.393;167.686;127.043;153.531;121.597;88.137;124.076;122.745;108.019;89.502;104.785;122.673;165.924;94.769;131.79;122.944;77.155;224.041;85.249;128.25;99.258;135.49;215.231
